MediaId,platformId,DateAdded
1,1,25-Sep-21
2,1,24-Sep-21
3,1,24-Sep-21
4,1,24-Sep-21
5,1,24-Sep-21
6,1,24-Sep-21
7,1,24-Sep-21
8,1,24-Sep-21
9,1,24-Sep-21
10,1,24-Sep-21
11,1,24-Sep-21
12,1,23-Sep-21
13,1,23-Sep-21
14,1,22-Sep-21
15,1,22-Sep-21
16,1,22-Sep-21
16,4,01-Jul-21
17,1,22-Sep-21
18,1,22-Sep-21
19,1,22-Sep-21
19,2,January 0, 1900
20,1,22-Sep-21
21,1,22-Sep-21
22,1,22-Sep-21
23,1,21-Sep-21
24,1,21-Sep-21
25,1,21-Sep-21
26,1,21-Sep-21
27,1,21-Sep-21
28,1,20-Sep-21
28,4,20-Sep-21
29,1,19-Sep-21
30,1,19-Sep-21
30,2,January 0, 1900
31,1,17-Sep-21
32,1,17-Sep-21
33,1,17-Sep-21
34,1,17-Sep-21
35,1,17-Sep-21
36,1,17-Sep-21
37,1,17-Sep-21
38,1,16-Sep-21
39,1,16-Sep-21
40,1,16-Sep-21
41,1,16-Sep-21
41,4,21-Dec-18
42,1,16-Sep-21
43,1,16-Sep-21
44,1,16-Sep-21
45,1,16-Sep-21
46,1,16-Sep-21
47,1,16-Sep-21
47,2,January 0, 1900
48,1,16-Sep-21
49,1,16-Sep-21
50,1,15-Sep-21
51,1,15-Sep-21
52,1,15-Sep-21
53,1,15-Sep-21
54,1,15-Sep-21
55,1,15-Sep-21
56,1,15-Sep-21
57,1,15-Sep-21
58,1,15-Sep-21
59,1,15-Sep-21
60,1,15-Sep-21
61,1,15-Sep-21
62,1,15-Sep-21
63,1,15-Sep-21
64,1,15-Sep-21
65,1,15-Sep-21
66,1,15-Sep-21
67,1,15-Sep-21
68,1,15-Sep-21
68,4,17-Jan-16
69,1,15-Sep-21
70,1,15-Sep-21
71,1,15-Sep-21
72,1,14-Sep-21
73,1,14-Sep-21
74,1,14-Sep-21
75,1,14-Sep-21
76,1,14-Sep-21
77,1,14-Sep-21
78,1,11-Sep-21
79,1,11-Sep-21
80,1,11-Sep-21
81,1,10-Sep-21
82,1,10-Sep-21
83,1,10-Sep-21
84,1,10-Sep-21
85,1,10-Sep-21
86,1,10-Sep-21
87,1,10-Sep-21
87,2,January 0, 1900
87,4,01-May-17
88,1,10-Sep-21
88,2,January 0, 1900
89,1,09-Sep-21
90,1,09-Sep-21
91,1,09-Sep-21
92,1,09-Sep-21
93,1,08-Sep-21
94,1,08-Sep-21
95,1,08-Sep-21
96,1,08-Sep-21
97,1,07-Sep-21
98,1,07-Sep-21
99,1,07-Sep-21
100,1,07-Sep-21
101,1,07-Sep-21
102,1,07-Sep-21
103,1,06-Sep-21
104,1,06-Sep-21
105,1,06-Sep-21
105,2,January 0, 1900
105,4,13-Oct-20
106,1,05-Sep-21
107,1,05-Sep-21
108,1,04-Sep-21
109,1,03-Sep-21
110,1,03-Sep-21
111,1,03-Sep-21
112,1,03-Sep-21
113,1,03-Sep-21
113,2,January 0, 1900
114,1,02-Sep-21
115,1,02-Sep-21
116,1,02-Sep-21
117,1,02-Sep-21
118,1,02-Sep-21
119,1,02-Sep-21
119,2,January 0, 1900
120,1,02-Sep-21
121,1,02-Sep-21
122,1,02-Sep-21
123,1,02-Sep-21
124,1,02-Sep-21
125,1,02-Sep-21
126,1,02-Sep-21
127,1,02-Sep-21
128,1,01-Sep-21
129,1,01-Sep-21
130,1,01-Sep-21
131,1,01-Sep-21
132,1,01-Sep-21
133,1,01-Sep-21
134,1,01-Sep-21
135,1,01-Sep-21
136,1,01-Sep-21
137,1,01-Sep-21
138,1,01-Sep-21
139,1,01-Sep-21
140,1,01-Sep-21
140,2,January 0, 1900
141,1,01-Sep-21
142,1,01-Sep-21
143,1,01-Sep-21
144,1,01-Sep-21
145,1,01-Sep-21
146,1,01-Sep-21
147,1,01-Sep-21
148,1,01-Sep-21
149,1,01-Sep-21
150,1,01-Sep-21
151,1,01-Sep-21
152,1,01-Sep-21
152,4,21-Jul-10
153,1,01-Sep-21
154,1,01-Sep-21
155,1,01-Sep-21
156,1,01-Sep-21
156,2,January 0, 1900
157,1,01-Sep-21
158,1,01-Sep-21
159,1,01-Sep-21
160,1,01-Sep-21
160,1,01-Sep-21
161,1,01-Sep-21
162,1,01-Sep-21
163,1,01-Sep-21
164,1,01-Sep-21
165,1,01-Sep-21
166,1,01-Sep-21
167,1,01-Sep-21
168,1,01-Sep-21
169,1,01-Sep-21
170,1,01-Sep-21
171,1,01-Sep-21
172,1,01-Sep-21
172,2,January 0, 1900
173,1,01-Sep-21
174,1,01-Sep-21
175,1,01-Sep-21
175,4,01-Sep-21
176,1,01-Sep-21
177,1,01-Sep-21
177,2,January 0, 1900
178,1,01-Sep-21
179,1,01-Sep-21
179,4,01-Sep-21
180,1,01-Sep-21
181,1,01-Sep-21
182,1,01-Sep-21
183,1,01-Sep-21
184,1,31-Aug-21
185,1,31-Aug-21
186,1,31-Aug-21
187,1,29-Aug-21
188,1,29-Aug-21
189,1,28-Aug-21
190,1,28-Aug-21
190,2,January 0, 1900
191,1,28-Aug-21
192,1,28-Aug-21
193,1,27-Aug-21
194,1,27-Aug-21
195,1,27-Aug-21
196,1,27-Aug-21
197,1,27-Aug-21
198,1,27-Aug-21
199,1,27-Aug-21
200,1,27-Aug-21
201,1,27-Aug-21
202,1,27-Aug-21
203,1,27-Aug-21
204,1,27-Aug-21
205,1,27-Aug-21
206,1,27-Aug-21
207,1,27-Aug-21
208,1,27-Aug-21
209,1,27-Aug-21
210,1,27-Aug-21
211,1,27-Aug-21
212,1,27-Aug-21
213,1,27-Aug-21
214,1,27-Aug-21
214,2,27-Aug-21
215,1,27-Aug-21
216,1,27-Aug-21
217,1,27-Aug-21
218,1,27-Aug-21
219,1,27-Aug-21
220,1,26-Aug-21
221,1,26-Aug-21
221,2,January 0, 1900
222,1,25-Aug-21
223,1,25-Aug-21
224,1,25-Aug-21
225,1,25-Aug-21
226,1,25-Aug-21
226,2,January 0, 1900
227,1,25-Aug-21
228,1,25-Aug-21
229,1,25-Aug-21
230,1,25-Aug-21
231,1,25-Aug-21
232,1,25-Aug-21
233,1,25-Aug-21
234,1,24-Aug-21
235,1,24-Aug-21
236,1,24-Aug-21
237,1,23-Aug-21
238,1,23-Aug-21
239,1,23-Aug-21
240,1,23-Aug-21
241,1,23-Aug-21
242,1,21-Aug-21
243,1,20-Aug-21
244,1,20-Aug-21
245,1,20-Aug-21
246,1,20-Aug-21
247,1,20-Aug-21
248,1,20-Aug-21
249,1,20-Aug-21
250,1,20-Aug-21
251,1,19-Aug-21
252,1,19-Aug-21
253,1,18-Aug-21
254,1,18-Aug-21
255,1,18-Aug-21
256,1,18-Aug-21
257,1,18-Aug-21
258,1,18-Aug-21
259,1,18-Aug-21
260,1,18-Aug-21
261,1,18-Aug-21
262,1,18-Aug-21
263,1,18-Aug-21
264,1,16-Aug-21
265,1,16-Aug-21
266,1,15-Aug-21
266,4,03-Oct-18
267,1,15-Aug-21
268,1,15-Aug-21
269,1,15-Aug-21
270,1,15-Aug-21
270,2,January 0, 1900
271,1,13-Aug-21
272,1,13-Aug-21
273,1,13-Aug-21
274,1,13-Aug-21
275,1,13-Aug-21
276,1,13-Aug-21
277,1,13-Aug-21
278,1,12-Aug-21
279,1,12-Aug-21
280,1,12-Aug-21
281,1,11-Aug-21
282,1,11-Aug-21
283,1,11-Aug-21
284,1,11-Aug-21
285,1,11-Aug-21
286,1,11-Aug-21
287,1,10-Aug-21
288,1,10-Aug-21
289,1,10-Aug-21
290,1,10-Aug-21
291,1,10-Aug-21
292,1,09-Aug-21
293,1,08-Aug-21
294,1,08-Aug-21
295,1,07-Aug-21
296,1,07-Aug-21
297,1,06-Aug-21
298,1,06-Aug-21
299,1,06-Aug-21
300,1,06-Aug-21
301,1,06-Aug-21
302,1,05-Aug-21
303,1,05-Aug-21
304,1,05-Aug-21
304,1,05-Aug-21
305,1,05-Aug-21
306,1,05-Aug-21
307,1,04-Aug-21
308,1,04-Aug-21
309,1,04-Aug-21
310,1,04-Aug-21
311,1,04-Aug-21
312,1,04-Aug-21
313,1,04-Aug-21
314,1,03-Aug-21
315,1,03-Aug-21
316,1,03-Aug-21
317,1,03-Aug-21
318,1,03-Aug-21
319,1,03-Aug-21
320,1,03-Aug-21
321,1,03-Aug-21
322,1,03-Aug-21
323,1,03-Aug-21
324,1,01-Aug-21
324,4,01-Oct-17
325,1,01-Aug-21
326,1,01-Aug-21
327,1,01-Aug-21
328,1,01-Aug-21
328,2,January 0, 1900
329,1,01-Aug-21
330,1,01-Aug-21
330,2,January 0, 1900
331,1,01-Aug-21
332,1,01-Aug-21
333,1,01-Aug-21
334,1,01-Aug-21
335,1,01-Aug-21
336,1,01-Aug-21
337,1,01-Aug-21
337,4,20-Apr-18
338,1,01-Aug-21
339,1,01-Aug-21
340,1,01-Aug-21
341,1,01-Aug-21
342,1,01-Aug-21
343,1,01-Aug-21
344,1,01-Aug-21
345,1,01-Aug-21
346,1,01-Aug-21
347,1,01-Aug-21
348,1,01-Aug-21
349,1,01-Aug-21
350,1,01-Aug-21
350,2,January 0, 1900
351,1,01-Aug-21
352,1,01-Aug-21
353,1,01-Aug-21
354,1,01-Aug-21
355,1,01-Aug-21
356,1,01-Aug-21
357,1,01-Aug-21
358,1,01-Aug-21
359,1,01-Aug-21
360,1,01-Aug-21
360,2,January 0, 1900
361,1,01-Aug-21
362,1,31-Jul-21
363,1,31-Jul-21
364,1,31-Jul-21
365,1,30-Jul-21
366,1,30-Jul-21
367,1,30-Jul-21
368,1,30-Jul-21
369,1,30-Jul-21
370,1,30-Jul-21
371,1,30-Jul-21
372,1,30-Jul-21
373,1,30-Jul-21
374,1,30-Jul-21
375,1,29-Jul-21
376,1,29-Jul-21
377,1,29-Jul-21
378,1,28-Jul-21
379,1,28-Jul-21
380,1,28-Jul-21
381,1,28-Jul-21
382,1,28-Jul-21
383,1,27-Jul-21
384,1,27-Jul-21
385,1,27-Jul-21
386,1,27-Jul-21
387,1,27-Jul-21
388,1,27-Jul-21
389,1,27-Jul-21
390,1,27-Jul-21
391,1,26-Jul-21
392,1,26-Jul-21
393,1,24-Jul-21
394,1,23-Jul-21
395,1,23-Jul-21
396,1,23-Jul-21
397,1,23-Jul-21
398,1,23-Jul-21
399,1,23-Jul-21
400,1,23-Jul-21
401,1,23-Jul-21
402,1,23-Jul-21
403,1,23-Jul-21
404,1,23-Jul-21
405,1,22-Jul-21
406,1,22-Jul-21
407,1,22-Jul-21
408,1,22-Jul-21
409,1,22-Jul-21
410,1,22-Jul-21
411,1,22-Jul-21
412,1,22-Jul-21
413,1,22-Jul-21
414,1,22-Jul-21
415,1,22-Jul-21
416,1,22-Jul-21
417,1,22-Jul-21
418,1,22-Jul-21
419,1,22-Jul-21
420,1,22-Jul-21
421,1,22-Jul-21
422,1,22-Jul-21
423,1,22-Jul-21
424,1,22-Jul-21
425,1,22-Jul-21
426,1,22-Jul-21
426,4,12-Nov-20
427,1,22-Jul-21
428,1,22-Jul-21
429,1,22-Jul-21
430,1,21-Jul-21
431,1,21-Jul-21
432,1,21-Jul-21
433,1,21-Jul-21
434,1,20-Jul-21
435,1,20-Jul-21
436,1,20-Jul-21
437,1,19-Jul-21
438,1,17-Jul-21
439,1,16-Jul-21
440,1,16-Jul-21
441,1,16-Jul-21
442,1,16-Jul-21
443,1,16-Jul-21
444,1,16-Jul-21
445,1,16-Jul-21
446,1,16-Jul-21
447,1,16-Jul-21
448,1,16-Jul-21
449,1,16-Jul-21
450,1,16-Jul-21
451,1,16-Jul-21
452,1,16-Jul-21
452,2,January 0, 1900
453,1,15-Jul-21
454,1,15-Jul-21
455,1,15-Jul-21
456,1,15-Jul-21
457,1,15-Jul-21
458,1,15-Jul-21
459,1,15-Jul-21
460,1,15-Jul-21
461,1,15-Jul-21
462,1,15-Jul-21
463,1,15-Jul-21
464,1,14-Jul-21
465,1,14-Jul-21
466,1,14-Jul-21
466,2,January 0, 1900
467,1,14-Jul-21
468,1,14-Jul-21
469,1,14-Jul-21
470,1,13-Jul-21
471,1,13-Jul-21
472,1,13-Jul-21
473,1,13-Jul-21
474,1,12-Jul-21
474,4,15-Jun-21
475,1,10-Jul-21
476,1,10-Jul-21
477,1,10-Jul-21
478,1,09-Jul-21
479,1,09-Jul-21
480,1,09-Jul-21
481,1,09-Jul-21
482,1,09-Jul-21
483,1,09-Jul-21
484,1,09-Jul-21
485,1,09-Jul-21
486,1,09-Jul-21
487,1,09-Jul-21
488,1,09-Jul-21
489,1,09-Jul-21
490,1,08-Jul-21
491,1,08-Jul-21
492,1,08-Jul-21
493,1,08-Jul-21
493,4,01-Dec-17
494,1,08-Jul-21
495,1,08-Jul-21
496,1,07-Jul-21
497,1,07-Jul-21
498,1,07-Jul-21
499,1,07-Jul-21
500,1,07-Jul-21
501,1,07-Jul-21
502,1,07-Jul-21
503,1,07-Jul-21
504,1,07-Jul-21
505,1,07-Jul-21
506,1,07-Jul-21
507,1,07-Jul-21
508,1,07-Jul-21
509,1,06-Jul-21
